2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=11 to queue=316
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:191 - 18 created a queue
2015-10-14 23:48:12 INFO  Client:191 - 18 created a queue
2015-10-14 23:48:12 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:12 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:12 INFO  Client:151 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=4 to queue=424
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=11 to queue=456
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=9 to queue=372
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:12 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:12 INFO  Client:179 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=13 to queue=36
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=4 to queue=188
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=13 to queue=234
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:165 - 18 poped a message from queue=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:165 - 18 poped a message from queue=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=4 to queue=265
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=19 to queue=217
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:12 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:12 INFO  Client:151 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:201 - 18 deleted a queue
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:191 - 18 created a queue
2015-10-14 23:48:12 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:12 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:12 INFO  Client:110 - 18 sends a message to client=2 to queue=322
2015-10-14 23:48:12 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:165 - 18 poped a message from queue=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:12 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:12 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:12 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:12 INFO  Client:151 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:13 INFO  Client:181 - 18 peeked a message from sender=16 :NfrZkKrqk0SQnzPhBXfWzbFcJMi8RlKzcyko9ciBBPkYbPQiiSDiPB9QfKYKYIofDUAvqUNiYQy1jbqIyJoMOAlQvIDHC93eBbsk77JcWO66tvwzYNJ8Ucvsb4ayE2nBCk0IHHQ1KmFDIRwE5OQ2TnAK53KC9e5m9FcNBKyA5MAsQXGrDrhtxnNjiLDhcNGHYwXLF18O
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:13 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:13 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:13 INFO  Client:179 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=16 to queue=57
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:13 INFO  Client:165 - 18 poped a message from queue=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:13 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:13 INFO  Client:165 - 18 poped a message from queue=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:201 - 18 deleted a queue
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=19 to queue=59
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:13 INFO  Client:165 - 18 poped a message from queue=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:201 - 18 deleted a queue
2015-10-14 23:48:13 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:13 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:13 INFO  Client:151 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:13 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:13 INFO  Client:179 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=9 to queue=243
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=3 to queue=69
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=12 to queue=434
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:225 - Client list with messages returned for client=18
2015-10-14 23:48:13 INFO  Client:231 - Client list empty for client=18
2015-10-14 23:48:13 INFO  Client:151 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=10 to queue=62
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=16 to queue=477
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:201 - 18 deleted a queue
2015-10-14 23:48:13 INFO  Client:211 - Client list returned for client=18
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:110 - 18 sends a message to client=6 to queue=123
2015-10-14 23:48:13 INFO  Client:118 - Message sent by client: 18
2015-10-14 23:48:13 INFO  Client:191 - 18 created a queue
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
2015-10-14 23:48:13 INFO  Client:137 - 18 peeked a message from sender=-1: NO MESSAGE AVAILABLE
2015-10-14 23:48:13 INFO  Client:239 - Queue list returned for client=18
2015-10-14 23:48:13 INFO  Client:201 - 18 deleted a queue
2015-10-14 23:48:13 INFO  Client:259 - Queue list with messages empty for client=18
